Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Staphylococcus_saprophyticus	Single	0	0	1	0	0	3	0.816496580927726	0.001	Gorilla
Staphylococcus_xylosus	Single	0	0	1	0	0	3	0.5773502691896257	0.011	Gorilla
Stenotrophomonas_maltophilia	Single	1	0	0	0	0	1	0.552096330759317	0.021	Alouatta
Streptococcus_anginosus	Single	0	0	0	1	0	4	0.7681590860768146	0.004	Homo
Streptococcus_australis	Single	0	0	0	1	0	4	0.5694947974514994	0.016	Homo
Streptococcus_constellatus	Multiple	0	0	0	1	1	15	0.7368082203939162	0.005	Homo:Pan
Streptococcus_cristatus	Single	0	0	0	1	0	4	0.9299811099505543	0.001	Homo
Streptococcus_dysgalactiae	Single	0	0	1	0	0	3	0.629404965794013	0.008	Gorilla
Streptococcus_gordonii	Single	0	0	0	1	0	4	0.9000648482791287	0.002	Homo
Streptococcus_infantis	Single	0	0	0	1	0	4	0.6575959492214292	0.01	Homo
Streptococcus_massiliensis	Single	1	0	0	0	0	1	0.9962958086310488	0.001	Alouatta
Streptococcus_mitis_oralis_pneumoniae	Single	0	0	0	1	0	4	0.7165985720844785	0.001	Homo
Streptococcus_mutans	Multiple	0	0	1	0	1	14	0.5738366548072293	0.044	Gorilla:Pan
Streptococcus_oligofermentans	Single	0	0	0	1	0	4	0.9004503377814963	0.001	Homo
Streptococcus_pyogenes	Single	0	0	1	0	0	3	0.5159206793328487	0.019	Gorilla
Streptococcus_sanguinis	Single	0	0	0	1	0	4	0.9861743471664165	0.001	Homo
Streptococcus_tigurinus	Single	0	0	0	1	0	4	0.7884298457197201	0.003	Homo
Subdoligranulum_unclassified	Single	0	0	0	0	1	5	0.5971439777847672	0.031	Pan
Tannerella_forsythia	Multiple	0	0	0	1	1	15	0.9502432969112159	0.001	Homo:Pan
Torque_teno_virus	Single	0	0	0	0	1	5	0.4197504927816955	0.023	Pan
Treponema_denticola	Multiple	0	0	0	1	1	15	0.9409643029498458	0.001	Homo:Pan
Treponema_lecithinolyticum	Multiple	0	0	0	1	1	15	0.7434448438647675	0.006	Homo:Pan
Treponema_maltophilum	Multiple	0	0	0	1	1	15	0.9679026728958767	0.001	Homo:Pan
Treponema_medium	Single	0	0	0	1	0	4	0.8366081161206835	0.001	Homo
Treponema_socranskii	Multiple	0	0	0	1	1	15	0.9409513042996567	0.001	Homo:Pan
Treponema_vincentii	Single	0	0	0	1	0	4	0.7704257294467278	0.001	Homo
Vagococcus_lutrae	Single	0	0	1	0	0	3	0.5163977794943222	0.015	Gorilla
Veillonella_parvula	Single	0	0	0	1	0	4	0.8692595288135228	0.002	Homo
Veillonella_unclassified	Multiple	0	0	1	1	0	13	0.8845206639197472	0.001	Gorilla:Homo
