Binning Method	Database	Taxonomic Level	Decontam Method	Decontam Threshold	Contaminant	Genus	Species
megan	nt	genus	combined	0.99	Lentzea	Lentzea	NA
megan	nt	genus	combined	0.99	Leptothrix	Leptothrix	NA
megan	nt	genus	combined	0.99	Leuconostoc	Leuconostoc	NA
megan	nt	genus	combined	0.99	Limnochorda	Limnochorda	NA
megan	nt	genus	combined	0.99	Limnohabitans	Limnohabitans	NA
megan	nt	genus	combined	0.99	Lipotes	Lipotes	NA
megan	nt	genus	combined	0.99	Lucilia	Lucilia	NA
megan	nt	genus	combined	0.99	Lupinus	Lupinus	NA
megan	nt	genus	combined	0.99	Luteibacter	Luteibacter	NA
megan	nt	genus	combined	0.99	Luteimonas	Luteimonas	NA
megan	nt	genus	combined	0.99	Luteipulveratus	Luteipulveratus	NA
megan	nt	genus	combined	0.99	Lymphocryptovirus	Lymphocryptovirus	NA
megan	nt	genus	combined	0.99	Lysinibacillus	Lysinibacillus	NA
megan	nt	genus	combined	0.99	Lysobacter	Lysobacter	NA
megan	nt	genus	combined	0.99	Macaca	Macaca	NA
megan	nt	genus	combined	0.99	Macrococcus	Macrococcus	NA
megan	nt	genus	combined	0.99	Magnaporthe	Magnaporthe	NA
megan	nt	genus	combined	0.99	Magnetospirillum	Magnetospirillum	NA
megan	nt	genus	combined	0.99	Mahella	Mahella	NA
megan	nt	genus	combined	0.99	Malassezia	Malassezia	NA
megan	nt	genus	combined	0.99	Marichromatium	Marichromatium	NA
megan	nt	genus	combined	0.99	Marinobacter	Marinobacter	NA
megan	nt	genus	combined	0.99	Marinovum	Marinovum	NA
megan	nt	genus	combined	0.99	Marmoricola	Marmoricola	NA
megan	nt	genus	combined	0.99	Marssonina	Marssonina	NA
megan	nt	genus	combined	0.99	Martelella	Martelella	NA
megan	nt	genus	combined	0.99	Massilia	Massilia	NA
megan	nt	genus	combined	0.99	Mastadenovirus	Mastadenovirus	NA
megan	nt	genus	combined	0.99	Medicago	Medicago	NA
megan	nt	genus	combined	0.99	Megamonas	Megamonas	NA
megan	nt	genus	combined	0.99	Meiothermus	Meiothermus	NA
megan	nt	genus	combined	0.99	Meleagris	Meleagris	NA
megan	nt	genus	combined	0.99	Melittangium	Melittangium	NA
megan	nt	genus	combined	0.99	Mesorhizobium	Mesorhizobium	NA
megan	nt	genus	combined	0.99	Methanobacterium	Methanobacterium	NA
megan	nt	genus	combined	0.99	Methanocella	Methanocella	NA
megan	nt	genus	combined	0.99	Methanoculleus	Methanoculleus	NA
megan	nt	genus	combined	0.99	Methanosarcina	Methanosarcina	NA
megan	nt	genus	combined	0.99	Methanothermus	Methanothermus	NA
megan	nt	genus	combined	0.99	Methanothrix	Methanothrix	NA
megan	nt	genus	combined	0.99	Methylibium	Methylibium	NA
megan	nt	genus	combined	0.99	Methylobacillus	Methylobacillus	NA
megan	nt	genus	combined	0.99	Methylobacterium	Methylobacterium	NA
megan	nt	genus	combined	0.99	Methylocaldum	Methylocaldum	NA
megan	nt	genus	combined	0.99	Methyloceanibacter	Methyloceanibacter	NA
megan	nt	genus	combined	0.99	Methylocella	Methylocella	NA
megan	nt	genus	combined	0.99	Methylococcus	Methylococcus	NA
megan	nt	genus	combined	0.99	Methylocystis	Methylocystis	NA
megan	nt	genus	combined	0.99	Methylomonas	Methylomonas	NA
megan	nt	genus	combined	0.99	Methylorubrum	Methylorubrum	NA
megan	nt	genus	combined	0.99	Methyloversatilis	Methyloversatilis	NA
megan	nt	genus	combined	0.99	Methylovorus	Methylovorus	NA
megan	nt	genus	combined	0.99	Microbacterium	Microbacterium	NA
megan	nt	genus	combined	0.99	Microcella	Microcella	NA
megan	nt	genus	combined	0.99	Micrococcus	Micrococcus	NA
megan	nt	genus	combined	0.99	Micromonas	Micromonas	NA
megan	nt	genus	combined	0.99	Microsporum	Microsporum	NA
megan	nt	genus	combined	0.99	Microterricola	Microterricola	NA
megan	nt	genus	combined	0.99	Microvirga	Microvirga	NA
megan	nt	genus	combined	0.99	Minicystis	Minicystis	NA
megan	nt	genus	combined	0.99	Mitsuaria	Mitsuaria	NA
megan	nt	genus	combined	0.99	Modestobacter	Modestobacter	NA
megan	nt	genus	combined	0.99	Monascus	Monascus	NA
megan	nt	genus	combined	0.99	Moniliophthora	Moniliophthora	NA
megan	nt	genus	combined	0.99	Monomorium	Monomorium	NA
megan	nt	genus	combined	0.99	Moraxella	Moraxella	NA
megan	nt	genus	combined	0.99	Morganella	Morganella	NA
megan	nt	genus	combined	0.99	Mucilaginibacter	Mucilaginibacter	NA
megan	nt	genus	combined	0.99	Mucor	Mucor	NA
megan	nt	genus	combined	0.99	Mus	Mus	NA
megan	nt	genus	combined	0.99	Mycobacteroides	Mycobacteroides	NA
megan	nt	genus	combined	0.99	Mycolicibacter	Mycolicibacter	NA
megan	nt	genus	combined	0.99	Mycolicibacterium	Mycolicibacterium	NA
megan	nt	genus	combined	0.99	Myroides	Myroides	NA
megan	nt	genus	combined	0.99	Myxococcus	Myxococcus	NA
megan	nt	genus	combined	0.99	Nakamurella	Nakamurella	NA
megan	nt	genus	combined	0.99	Nannizzia	Nannizzia	NA
megan	nt	genus	combined	0.99	Nectria	Nectria	NA
megan	nt	genus	combined	0.99	Neomicrococcus	Neomicrococcus	NA
megan	nt	genus	combined	0.99	Neorhizobium	Neorhizobium	NA
megan	nt	genus	combined	0.99	Neospora	Neospora	NA
megan	nt	genus	combined	0.99	Neurospora	Neurospora	NA
megan	nt	genus	combined	0.99	Niabella	Niabella	NA
megan	nt	genus	combined	0.99	Niastella	Niastella	NA
megan	nt	genus	combined	0.99	Nicotiana	Nicotiana	NA
megan	nt	genus	combined	0.99	Nilaparvata	Nilaparvata	NA
megan	nt	genus	combined	0.99	Nitrobacter	Nitrobacter	NA
