File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
SRR062083_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	33714761	28857431	539666433	28851365	2885	85.59286836	85.57487624
SRR062298_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	13965094	9174421	115006493	9151087	917	65.69537591	65.52828789
SRR062299_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	6689934	5105823	65758399	5097402	510	76.32097716	76.19510148
SRR063517_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	25964367	23486396	557255687	23482200	2348	90.45626262	90.44010201
SRR1631060_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	30740601	11074769	534726633	10996975	1107	36.02652076	35.77345479
SRR1631061_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	31570995	11333642	547255413	11253848	1133	35.89890658	35.64616193
SRR1631063_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	34647437	12552913	604636904	12464013	1255	36.23042305	35.97383841
SRR1631064_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	34889698	12571513	604932054	12482042	1257	36.03216342	35.77572383
SRR1633008_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	19880439	12657091	622927431	12154048	1265	63.66605385	61.13571235
SRR1761677_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	37322236	26668992	578339818	26609032	2666	71.45604031	71.29538541
SRR1761682_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	28773379	22629359	407600740	22495079	2262	78.64685965	78.18017828
SRR1761688_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	29900649	24976656	531340929	24865736	2497	83.53215343	83.16119158
SRR1761692_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	31440728	24593905	504929281	24459879	2459	78.2230774	77.79679593
SRR1761697_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	35929433	22316508	420497941	22012677	2231	62.1120517	61.26641909
SRR1761698_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	50124132	23965792	357979992	23760806	2396	47.81288183	47.40392512
SRR1761705_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	43133339	12892016	158437188	12566878	1289	29.88875032	29.1349529
SRR1761710_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	40040055	21281227	339481715	21009465	2128	53.14984457	52.47111923
SRR1761718_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	43877103	21074321	328242177	20867373	2107	48.03033828	47.55868454
SRR1761721_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	43665784	18876755	312085968	18756464	1887	43.23008377	42.95460262
SRR1804664_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	27544110	23770533	300827401	23713057	2377	86.29987682	86.09120788
SRR1804823_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	19301199	16967273	454097251	16958913	1696	87.90787039	87.86455702
SRR1929408_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	59782411	22511351	557944241	22145592	2251	37.65547529	37.04365821
SRR1930121_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	68362509	22037491	404167845	21219012	2203	32.23622322	31.03896026
SRR1930123_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	73940528	26993374	406919139	26266460	2699	36.50687212	35.5237658
SRR1930141_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	61586289	25499472	415824233	24521560	2549	41.40446261	39.8165897
SRR1930145_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	32301173	11212869	147737508	10880544	1121	34.71350406	33.68467145
SRR3184100_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	26261725	17922217	1025954601	17726511	1792	68.24462978	67.49941598
SRR3184876_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	40471677	17403244	1319126673	17365931	1740	43.0010449	42.90884956
