Sample_Name	Extra_lib_2	Extra_lib_3	Extra_lib_4	Extra_lib_5	ERR_Accession	ERR_Accession_Extra_lib_2	ERR_Accession_Extra_lib_3	ERR_Accession_Extra_lib_4	ERR_Accession_Extra_lib_5	NonHuman_Reads_Lib_1	NonHuman_Reads_Lib_2	NonHuman_Reads_Lib_3	NonHuman_Reads_Lib_4	NonHuman_Reads_Lib_5	Final NonHuman Reads
VLD001.A0101	NA	NA	NA	NA						9040714	0	0	0	0	9040714
WAL001.A0101	WAL001.A0101.171215	NA	NA	NA						4737493	10143930	0	0	0	14881423
ZAF001.A0101	NA	NA	NA	NA						8749845	0	0	0	0	8749845
VLC001.A0101	NA	NA	NA	NA						34450702	0	0	0	0	34450702
VLC002.A0101	NA	NA	NA	NA						15733227	0	0	0	0	15733227
VLC003.A0101	NA	NA	NA	NA						26094614	0	0	0	0	26094614
VLC004.A0101	NA	NA	NA	NA						43315114	0	0	0	0	43315114
VLC005.A0101	NA	NA	NA	NA						44131346	0	0	0	0	44131346
VLC008.A0101	NA	NA	NA	NA						35776120	0	0	0	0	35776120
VLC009.A0101	NA	NA	NA	NA						33664784	0	0	0	0	33664784
VLC010.A0101	NA	NA	NA	NA						19113086	0	0	0	0	19113086
EXB002.A1101	NA	NA	NA	NA						280225	0	0	0	0	280225
EXB015.A1701	NA	NA	NA	NA						238443	0	0	0	0	238443
EXB015.A1901	NA	NA	NA	NA						277964	0	0	0	0	277964
EXB015.A2001	NA	NA	NA	NA						309131	0	0	0	0	309131
EXB015.A2101	NA	NA	NA	NA						448340	0	0	0	0	448340
EXB015.A2201	NA	NA	NA	NA						505402	0	0	0	0	505402
EXB015.A2301	NA	NA	NA	NA						172075	0	0	0	0	172075
EXB015.A2401	NA	NA	NA	NA						490275	0	0	0	0	490275
EXB015.A2501	NA	NA	NA	NA						1622112	0	0	0	0	1622112
EXB015.A2601	NA	NA	NA	NA						1535271	0	0	0	0	1535271
EXB015.A2801	NA	NA	NA	NA						2086131	0	0	0	0	2086131
EXB015.A2901	NA	NA	NA	NA						490977	0	0	0	0	490977
