sample	Env	Description	Host_General	Host_Common	Age	EnvironmentalControl	ruralGut	sediment	skin	subPlaque	supPlaque	urbanGut	unknown	total_plaquegut	more_env
GOY006.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0.0219	0.4591	0.0563	0.1548	0.1709	0.0059	0.1311	0.3535	TRUE
GUE001.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0.6088	0	0.1942	0.1189	0	0	0	0.0781	0	TRUE
PES001.B0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0	0.1549	0.2292	0	0.4472	0.026	0.1427	0.4732	FALSE
SPM001.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0.0028	4e-4	0.214	0.601	2e-4	0	0.0016	0.18	0.0022	TRUE
SPM002.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0	0.0572	0.8958	0	8e-4	8e-4	0.0454	0.0016	TRUE
SpyNew	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	1e-4	0	0.0938	0	0	0.4204	0.4857	0	0.9061	FALSE
SpyOld	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0	0	0.49370000000000003	0.2538	0	0.057	0.0718	0.1237	0.1288	TRUE
VLD001.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	3e-4	4e-4	0.4455	0.1222	0.0016	0.2447	0	0.1853	0.2467	TRUE
ZAF001.A0101	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo (Neanderthal)	Palaeolithic	0.1874	1e-4	0.1994	0.2865	0.2579	0.0121	5e-4	0.0561	0.2706	TRUE
MOA001.A0101	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo (Modern Human)	Later_Stone_Age	0	0.1708	0.1777	0	0.2838	0	0.0074	0.3603	0.462	FALSE
