Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 83/188,JAE009.A0101,98664056,7192264,7.290,91471792,548309,6515,541794,0.556,1.012,0.0122,0.2145,0.61,0.55,0.02,0.01,0,315,1.3204176474138452,108.39,0.0061,0.0057,0.0081,0.0063,69.65,76.0,44.93
Sample 84/188,JAE010.A0101,92977107,6583173,7.080,86393934,228459,2757,225702,0.246,1.012,0.005,0.1477,0.25,0.22,0.01,0,0,371,1.5237491701370027,307.62,0.0292,0.0235,0.0515,0.0363,68.05,76.0,45.85
Sample 85/188,JAE012.A0101,90298499,6204953,6.872,84093546,890196,12250,877946,0.986,1.014,0.0201,0.2944,1,0.91,0.04,0.02,0.01,1776,7.666123483613978,382.08,0.003,0.0025,0.0017,0.0016,70.89,76.0,45.21
Sample 86/188,JAE013.A0101,58706244,3792570,6.460,54913674,42752,626,42126,0.073,1.015,0.0009,0.0748,0.05,0.04,0,0,0,59,0.25807230369968015,276.16,0.0072,0.0074,0.009,0.0101,68.78,76.0,46.42
Sample 87/188,JAE014.A0101,98991131,7504183,7.581,91486948,101074,1448,99626,0.102,1.015,0.0022,0.1092,0.11,0.1,0,0,0,142,0.5997344438409077,267.49,0.0097,0.0082,0.0164,0.0125,69.77,76.0,45.63
Sample 88/188,JAE015.A0101,84353743,6384057,7.568,77969686,29215,896,28319,0.035,1.032,0.0006,0.0927,0.03,0.03,0,0,0,357,1.518860522662804,2464.72,0.0065,0.0096,0.0084,0.0067,68.25,76.0,48.4
Sample 89/188,JAE016.A0101,137056982,10382062,7.575,126674920,177392,2735,174657,0.129,1.016,0.0038,0.1532,0.19,0.17,0.01,0,0,725,3.1440642163075627,829.06,0.0069,0.0055,0.0095,0.0071,67.52,76.0,45.93
Sample 90/188,KNP001.A0102,28393139,1926977,6.787,26466162,1016453,11013,1005440,3.580,1.011,0.0191,0.2379,0.99,0.86,0.03,0.01,0,20,0.06554408835777657,3.43,0.0801,0.0705,0.0797,0.0732,58.84,59.0,40.05
Sample 91/188,KNP003.A0102,17658990,1282868,7.265,16376122,18736,212,18524,0.106,1.011,0.0003,0.0322,0.02,0.01,0,0,0,4,0.009656587603355664,32.11,0.1269,0.0917,0.1177,0.0929,50.26,47.0,41.85
Sample 92/188,KNP004.A0102,317457,22409,7.059,295048,5839,55,5784,1.839,1.010,0.0001,0.0141,0.01,0,0,0,0,2,0.006156074597139236,60.51,0.0321,0.0394,0.0346,0.0295,54.47,53.0,41.44
