File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
FDM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4889751	1567851	14519329	1567780	156	32.0640253460759	32.0625733293986
FUM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10808498	3467865	63038209	3467704	346	32.0846152721682	32.0831257034974
FUM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17157534	3572582	29233704	3572551	357	20.8222347104193	20.822054031774
FUM003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15708618	3561236	66703972	3561021	356	22.6705875717393	22.6692188962772
GDC002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11300654	2849487	53731584	2849431	284	25.2152397551505	25.2147442086095
GDC004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12302652	6996111	47191086	6996079	699	56.8666902063067	56.8664300997866
GDC005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9931068	4049229	80291879	4049168	404	40.773348848281	40.7727346142429
GDN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	30835470	7794472	76038872	7794291	779	25.27761697811	25.2770299917595
GOY005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9163118	1947893	25025675	1947857	194	21.2579713586576	21.2575784792906
GOY006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3799236	877299	12677192	877265	87	23.0914583879496	23.0905634711821
GUE001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11156331	956339	15384511	955913	95	8.5721640922988	8.56834563262779
IBA001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12987664	2414846	33929211	2414666	241	18.5933821509395	18.5919962204135
IBA002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	19022015	9756356	208443788	9756287	975	51.2898134083061	51.2894506707097
JAE006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	87883942	60530165	752947543	60530007	6053	68.875113726692	68.8749339441328
JAE007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66419551	49018126	756375828	49018005	4901	73.8007488186724	73.8005666433969
JAE008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	65296039	33945834	307286112	33945742	3394	51.9875853418919	51.987444445137
JAE009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66062410	29316590	244803612	29316487	2931	44.377112491052	44.3769565778784
JAE010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	60027336	37498994	302875109	37498932	3749	62.4698620641769	62.4697587779008
JAE012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	62752277	25702076	316507223	25701806	2570	40.9579974285236	40.957567165252
JAE013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	38954329	23080544	419570241	23080470	2308	59.250267152593	59.2500771865433
JAE014.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	68620482	27348695	211848429	27348552	2734	39.8550027672496	39.8547943746592
JAE015.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	57512281	27652170	136629858	27652090	2765	48.0804612844342	48.0803221837089
JAE016.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	94564553	38392047	187126412	38391967	3839	40.5987717194624	40.5986871211668
KNP001.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	16260023	2730587	19314854	2730545	273	16.7932542284842	16.7929959262665
KNP003.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10394445	2097007	13991795	2096988	209	20.1743046406037	20.1741218506616
KNP004.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	184494	34968	225056	34963	3	18.9534619012	18.9507517859659
